identifier	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	volume	edition	publisher	authorList	editorList	created	language	uri	doi	schema#localityName
WoRMS:citation:100117	Citation	WoRMS (2014). <i>Micronectriella</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100117															
WoRMS:citation:100118	Citation	"Kirk, P. (2014). <i>Mycosphaerella</i> Johanson, 1884. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100118"															
WoRMS:citation:100119	Citation	"Kirk, P. (2014). <i>Pharcidia</i> KÌ¦rber, 1865. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100119"															
WoRMS:citation:100120	Citation	"Kirk, P. (2014). <i>Sphaerulina</i> Saccardo, 1878. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100120"															
WoRMS:citation:100121	Citation	"Kirk, P. (2014). <i>Lautitia</i> S. Schatz, 1984. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100121"															
WoRMS:citation:100122	Citation	"Kirk, P. (2014). <i>Phaeosphaeria</i> I. Miyake, 1909. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100122"															
WoRMS:citation:100123	Citation	WoRMS (2014). <i>Kirschsteinothelia</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100123															
WoRMS:citation:100124	Citation	"Kirk, P. (2014). <i>Pleospora</i> Rabenhorst ex Cesati & De Notaris, 1863. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100124"															
WoRMS:citation:100125	Citation	WoRMS (2014). <i>Trematcia</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100125															
WoRMS:citation:100126	Citation	WoRMS (2014). <i>Preussia</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100126															
WoRMS:citation:100127	Citation	"Kirk, P. (2014). <i>Halotthia</i> Kohlm., 1963. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100127"															
WoRMS:citation:100128	Citation	"Kirk, P. (2014). <i>Pontoporeia</i> Kohlm., 1963. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100128"															
WoRMS:citation:100129	Citation	WoRMS (2014). <i>Monascus</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100129															
WoRMS:citation:100130	Citation	WoRMS (2014). <i>Byssochlamys</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100130															
